condition,stimulus,left_image,right_image,target_image,center,audio,noun_onset_sec,noun_onset_frames,noun_onset_msec,noun_onset_sec_1,noun_offset_sec,noun_offset_frames,noun_offset_msec,noun_offset_sec_1,sentence_onset_sec_frames,sentence_onset_frames,sentence_onset_sec
Bullseye,de38a30bb5cbfeb9b275803d59195c53_1024x768,ball,cookie,ball,bullseye,audio,3,18,3540,3.54,4,8,4240,4.24,1,10,1.33
Bullseye,0d81190805b19a52166c78ec5ad63b8f_1024x768,cookie,ball,ball,bullseye,audio,3,18,3540,3.54,4,8,4240,4.24,1,10,1.33
Bullseye,90852f6cfea6f738397029610f03270a_1024x768,juice,banana,juice,bullseye,audio,3,9,3270,3.27,4,6,4180,4.18,1,5,1.17
Bullseye,9ef34ee9a6cdbcbff23ab534a85364dc_1024x768,cookie,ball,ball,bullseye,audio,3,18,3540,3.54,4,8,4240,4.24,1,10,1.33
Bullseye,403b2e3182e0ebfa41e5a09b4b0ed8ff_1024x768,shoe,book,book,bullseye,audio,3,3,3090,3.09,3,29,3870,3.87,1,4,1.13
Bullseye,922b93edf1a6d43c6c49b8b289fb5799_1024x768,book,shoe,book,bullseye,audio,3,3,3090,3.09,3,29,3870,3.87,1,4,1.13
Bullseye,b43ead8ac292475e719e08bcc3aa4396_1024x768,cookie,ball,cookie,bullseye,audio,3,6,3180,3.18,4,4,4120,4.12,1,8,1.27
Text,916c0d434d4a381f5324a9d4e82ad6d3_1024x768,banana,juice,banana,text,audio,3,17,3510,3.51,4,10,4300,4.3,1,15,1.5
Text,72d2fbac50791a7ee88f8592bd31ae83_1024x768,book,shoe,shoe,text,audio,3,9,3270,3.27,3,29,3870,3.87,1,16,1.53
Text,b0d919fa9f1b6335757c8d4ca0b9b5f9_1024x768,juice,banana,banana,text,audio,3,17,3510,3.51,4,10,4300,4.3,1,15,1.5
Text,3d9d4398722c7cdabd80b6ef7f112a3c_1024x768,book,shoe,shoe,text,audio,3,9,3270,3.27,3,29,3870,3.87,1,16,1.53
Text,307ecb423aae9c3b1194d6db0de72791_1024x768,ball,cookie,cookie,text,audio,3,6,3180,3.18,4,4,4120,4.12,1,8,1.27
Text,e53a90735a6c2a14b2056e0a3989be5c_1024x768,juice,banana,banana,text,audio,3,17,3510,3.51,4,10,4300,4.3,1,15,1.5
Text,36aac5da8046dc8a94aef99bdd0dd5cd_1024x768,cookie,ball,cookie,text,audio,3,6,3180,3.18,4,4,4120,4.12,1,8,1.27
Text,f9b7bd19bfa650c655d25f1adb29f91c_1024x768,ball,cookie,ball,text,audio,3,18,3540,3.54,4,8,4240,4.24,1,10,1.33
Text,90b28a0d49f4f198a70a63c3d6f3a212_1024x768,shoe,book,shoe,text,audio,3,9,3270,3.27,3,29,3870,3.87,1,16,1.53
Text,e9d94076ef6bbeebdd4958cd75db51a9_1024x768,cookie,ball,cookie,text,audio,3,6,3180,3.18,4,4,4120,4.12,1,8,1.27
Text,9f28f80f56839abfc19a07b24970a53c_1024x768,ball,cookie,cookie,text,audio,3,6,3180,3.18,4,4,4120,4.12,1,8,1.27
Text,56a752aa6cacf04465d5ffb9c1b63b40_1024x768,shoe,book,shoe,text,audio,3,9,3270,3.27,3,29,3870,3.87,1,16,1.53
Text,7e5f49efc0a739b86577f8819f02996f_1024x768,juice,banana,juice,text,audio,3,9,3270,3.27,4,6,4180,4.18,1,5,1.17
Text,6c63bc5883d5825b38a6f210d41eafbc_1024x768,book,shoe,book,text,audio,3,3,3090,3.09,3,29,3870,3.87,1,4,1.13
Text,eadd2dcf4919952a7d93dbe8fe5db919_1024x768,cookie,ball,ball,text,audio,3,18,3540,3.54,4,8,4240,4.24,1,10,1.33
Text,cd65b80d7e48269e02b953123ccbd81a_1024x768,banana,juice,juice,text,audio,3,9,3270,3.27,4,6,4180,4.18,1,5,1.17
Text,96f8c96e4f11b28e532f58b88d9741e5_1024x768,shoe,book,book,text,audio,3,3,3090,3.09,3,29,3870,3.87,1,4,1.13
Text,2176434b4eb17ca2315e145af852e60d_1024x768,cookie,ball,ball,text,audio,3,18,3540,3.54,4,8,4240,4.24,1,10,1.33
Text,9bda5ac9672b4793d56d14f8a6903a6c_1024x768,book,shoe,book,text,audio,3,3,3090,3.09,3,29,3870,3.87,1,4,1.13
Text,85237e7c98794051966c60e294d66431_1024x768,shoe,book,book,text,audio,3,3,3090,3.09,3,29,3870,3.87,1,4,1.13
Text,160f71ccfa1e89327fc5cb64df11910a_1024x768,ball,cookie,ball,text,audio,3,18,3540,3.54,4,8,4240,4.24,1,10,1.33
Text,8bce1d40a6ac138efa64313d22930108_1024x768,juice,banana,juice,text,audio,3,9,3270,3.27,4,6,4180,4.18,1,5,1.17
Text,bbf5275ea0216676a84de2e6b58d164a_1024x768,banana,juice,juice,text,audio,3,9,3270,3.27,4,6,4180,4.18,1,5,1.17
Text,14b27193f8609ed0c49d99ca0e7868cb_1024x768,banana,juice,banana,text,audio,3,17,3510,3.51,4,10,4300,4.3,1,15,1.5
