subid,tr.num,noise_condition,correct,age,age_group,target_image,RT,condition,rt,guess,guess_num,ucl_bound,ewma_param,param_value
9,4,clear,1,1744,4,bunny,0.46799999999999997,clear,0.47,guess,0,0.009999999999999898,cs,0.56
19,6,clear,1,1129,3,boat,0.4689999999999994,clear,0.47,guess,0,0.009999999999999898,cs,0.56
28,11,clear,1,1418,3,juice,0.4690000000000003,clear,0.47,guess,0,0,cs,0.57
45,11,clear,0,1957,5,juice,0.4690000000000003,clear,0.47,guess,0,0.009999999999999898,cs,0.56
15,18,clear,0,1325,3,bunny,0.46999999999999975,clear,0.47,guess,0,0.009999999999999898,cs,0.56
34,22,clear,1,1289,3,bunny,0.4710000000000001,clear,0.47,guess,0,0.009999999999999898,cs,0.56
21,2,clear,1,1701,4,chicken,0.47199999999999953,clear,0.47,guess,0,0,cs,0.57
7,26,clear,0,1742,4,bottle,0.47199999999999953,clear,0.47,guess,0,0.009999999999999898,cs,0.56
20,2,clear,1,2088,5,boat,0.47299999999999986,clear,0.47,guess,0,0.009999999999999898,cs,0.56
36,1,clear,1,1160,3,boat,0.47299999999999986,clear,0.47,guess,0,0,cs,0.57
34,27,clear,0,1289,3,ball,0.47499999999999964,clear,0.47,guess,0,0.009999999999999898,cs,0.56
36,8,clear,1,1160,3,ball,0.47499999999999964,clear,0.47,guess,0,0,cs,0.57
41,28,clear,1,1842,5,ball,0.47499999999999964,clear,0.47,guess,0,0,cs,0.57
11,2,clear,1,1695,4,juice,0.47500000000000053,clear,0.48,response,1,0.010000000000000009,cs,0.58
19,14,clear,0,1129,3,ball,0.47500000000000053,clear,0.48,guess,0,0,cs,0.57
24,2,clear,1,1288,3,juice,0.47500000000000053,clear,0.48,guess,0,0,cs,0.57
20,5,clear,1,2088,5,juice,0.476,clear,0.48,response,1,0.010000000000000009,cs,0.58
30,24,clear,0,1767,4,cookie,0.476,clear,0.48,guess,0,0,cs,0.57
33,7,clear,1,1870,5,bottle,0.5,clear,0.5,response,1,0.010000000000000009,cs,0.58
46,11,clear,1,1836,5,bottle,0.5,clear,0.5,response,1,0.010000000000000009,cs,0.58
1,27,clear,0,1770,4,chicken,0.5009999999999994,clear,0.5,response,1,0.010000000000000009,cs,0.58
33,13,clear,1,1870,5,chicken,0.5009999999999994,clear,0.5,response,1,0.010000000000000009,cs,0.58
11,14,clear,1,1695,4,shoe,0.5010000000000003,clear,0.5,response,1,0.010000000000000009,cs,0.58
2,17,clear,0,1810,4,shoe,0.5010000000000003,clear,0.5,response,1,0.010000000000000009,cs,0.58
28,10,clear,0,1418,3,shoe,0.5010000000000003,clear,0.5,guess,0,0,cs,0.57
22,7,clear,1,1866,5,juice,0.5019999999999998,clear,0.5,response,1,0.010000000000000009,cs,0.58
37,3,clear,0,1882,5,bunny,0.5019999999999998,clear,0.5,guess,0,0,cs,0.57
9,6,clear,0,1744,4,juice,0.5019999999999998,clear,0.5,guess,0,0,cs,0.57
1,17,clear,1,1770,4,juice,0.5030000000000001,clear,0.5,guess,0,0,cs,0.57
22,8,clear,0,1866,5,bunny,0.5030000000000001,clear,0.5,guess,0,0.009999999999999898,cs,0.56
15,28,clear,0,1325,3,chicken,0.5039999999999996,clear,0.5,guess,0,0.009999999999999898,cs,0.56
25,20,clear,0,1311,3,chicken,0.5039999999999996,clear,0.5,guess,0,0.019999999999999907,cs,0.55
42,20,clear,1,1151,3,ball,0.5040000000000004,clear,0.5,guess,0,0.009999999999999898,cs,0.56
43,17,clear,1,1413,3,bunny,0.5040000000000004,clear,0.5,guess,0,0.009999999999999898,cs,0.56
15,20,clear,1,1325,3,bottle,0.5049999999999999,clear,0.5,guess,0,0,cs,0.57
19,8,clear,0,1129,3,bottle,0.5049999999999999,clear,0.5,guess,0,0.009999999999999898,cs,0.56
22,11,clear,1,1866,5,bottle,0.5049999999999999,clear,0.5,guess,0,0,cs,0.57
50,18,clear,1,1693,4,bottle,0.5049999999999999,clear,0.5,guess,0,0,cs,0.57
